0.200 0.066 {'n_estimators': 10, 'max_depth': 3}
0.230 0.060 {'n_estimators': 15, 'max_depth': 3}
0.293 0.026 {'n_estimators': 20, 'max_depth': 3}
0.285 0.006 {'n_estimators': 25, 'max_depth': 3}
0.296 0.029 {'n_estimators': 30, 'max_depth': 3}
0.317 0.024 {'n_estimators': 35, 'max_depth': 3}
0.309 0.022 {'n_estimators': 40, 'max_depth': 3}
0.336 0.020 {'n_estimators': 45, 'max_depth': 3}
0.237 0.038 {'n_estimators': 10, 'max_depth': 4}
0.255 0.040 {'n_estimators': 15, 'max_depth': 4}
0.292 0.033 {'n_estimators': 20, 'max_depth': 4}
0.325 0.029 {'n_estimators': 25, 'max_depth': 4}
0.314 0.031 {'n_estimators': 30, 'max_depth': 4}
0.318 0.038 {'n_estimators': 35, 'max_depth': 4}
0.319 0.016 {'n_estimators': 40, 'max_depth': 4}
0.342 0.018 {'n_estimators': 45, 'max_depth': 4}
0.277 0.019 {'n_estimators': 10, 'max_depth': 5}
0.291 0.034 {'n_estimators': 15, 'max_depth': 5}
0.294 0.023 {'n_estimators': 20, 'max_depth': 5}
0.292 0.029 {'n_estimators': 25, 'max_depth': 5}
0.319 0.013 {'n_estimators': 30, 'max_depth': 5}
0.324 0.021 {'n_estimators': 35, 'max_depth': 5}
0.324 0.012 {'n_estimators': 40, 'max_depth': 5}
0.337 0.019 {'n_estimators': 45, 'max_depth': 5}
0.281 0.040 {'n_estimators': 10, 'max_depth': 6}
0.294 0.026 {'n_estimators': 15, 'max_depth': 6}
0.294 0.018 {'n_estimators': 20, 'max_depth': 6}
0.316 0.020 {'n_estimators': 25, 'max_depth': 6}
0.335 0.016 {'n_estimators': 30, 'max_depth': 6}
0.349 0.007 {'n_estimators': 35, 'max_depth': 6}
0.346 0.007 {'n_estimators': 40, 'max_depth': 6}
0.340 0.023 {'n_estimators': 45, 'max_depth': 6}
0.282 0.025 {'n_estimators': 10, 'max_depth': 7}
0.278 0.028 {'n_estimators': 15, 'max_depth': 7}
0.328 0.022 {'n_estimators': 20, 'max_depth': 7}
0.323 0.016 {'n_estimators': 25, 'max_depth': 7}
0.336 0.015 {'n_estimators': 30, 'max_depth': 7}
0.342 0.010 {'n_estimators': 35, 'max_depth': 7}
0.341 0.006 {'n_estimators': 40, 'max_depth': 7}
0.351 0.011 {'n_estimators': 45, 'max_depth': 7}
0.281 0.025 {'n_estimators': 10, 'max_depth': 8}
0.309 0.038 {'n_estimators': 15, 'max_depth': 8}
0.338 0.020 {'n_estimators': 20, 'max_depth': 8}
0.332 0.014 {'n_estimators': 25, 'max_depth': 8}
0.347 0.011 {'n_estimators': 30, 'max_depth': 8}
0.353 0.019 {'n_estimators': 35, 'max_depth': 8}
0.356 0.007 {'n_estimators': 40, 'max_depth': 8}
0.362 0.008 {'n_estimators': 45, 'max_depth': 8}
0.273 0.036 {'n_estimators': 10, 'max_depth': 9}
0.319 0.023 {'n_estimators': 15, 'max_depth': 9}
0.336 0.009 {'n_estimators': 20, 'max_depth': 9}
0.341 0.013 {'n_estimators': 25, 'max_depth': 9}
0.348 0.012 {'n_estimators': 30, 'max_depth': 9}
0.346 0.022 {'n_estimators': 35, 'max_depth': 9}
0.354 0.017 {'n_estimators': 40, 'max_depth': 9}
0.354 0.012 {'n_estimators': 45, 'max_depth': 9}
0.310 0.018 {'n_estimators': 10, 'max_depth': 10}
0.326 0.024 {'n_estimators': 15, 'max_depth': 10}
0.330 0.018 {'n_estimators': 20, 'max_depth': 10}
0.346 0.013 {'n_estimators': 25, 'max_depth': 10}
0.346 0.011 {'n_estimators': 30, 'max_depth': 10}
0.353 0.004 {'n_estimators': 35, 'max_depth': 10}
0.355 0.010 {'n_estimators': 40, 'max_depth': 10}
0.357 0.010 {'n_estimators': 45, 'max_depth': 10}
0.309 0.018 {'n_estimators': 10, 'max_depth': 11}
0.336 0.015 {'n_estimators': 15, 'max_depth': 11}
0.336 0.015 {'n_estimators': 20, 'max_depth': 11}
0.354 0.009 {'n_estimators': 25, 'max_depth': 11}
0.357 0.017 {'n_estimators': 30, 'max_depth': 11}
0.361 0.018 {'n_estimators': 35, 'max_depth': 11}
0.360 0.007 {'n_estimators': 40, 'max_depth': 11}
0.368 0.010 {'n_estimators': 45, 'max_depth': 11}
0.349 0.008 {'n_estimators': 10, 'max_depth': 12}
0.324 0.027 {'n_estimators': 15, 'max_depth': 12}
0.351 0.019 {'n_estimators': 20, 'max_depth': 12}
0.349 0.010 {'n_estimators': 25, 'max_depth': 12}
0.362 0.010 {'n_estimators': 30, 'max_depth': 12}
0.358 0.016 {'n_estimators': 35, 'max_depth': 12}
0.360 0.011 {'n_estimators': 40, 'max_depth': 12}
0.370 0.007 {'n_estimators': 45, 'max_depth': 12}
0.328 0.022 {'n_estimators': 10, 'max_depth': 13}
0.335 0.014 {'n_estimators': 15, 'max_depth': 13}
0.349 0.009 {'n_estimators': 20, 'max_depth': 13}
0.351 0.013 {'n_estimators': 25, 'max_depth': 13}
0.369 0.009 {'n_estimators': 30, 'max_depth': 13}
0.362 0.004 {'n_estimators': 35, 'max_depth': 13}
0.363 0.007 {'n_estimators': 40, 'max_depth': 13}
0.368 0.008 {'n_estimators': 45, 'max_depth': 13}
0.305 0.022 {'n_estimators': 10, 'max_depth': 14}
0.347 0.011 {'n_estimators': 15, 'max_depth': 14}
0.349 0.024 {'n_estimators': 20, 'max_depth': 14}
0.361 0.007 {'n_estimators': 25, 'max_depth': 14}
0.353 0.016 {'n_estimators': 30, 'max_depth': 14}
0.364 0.010 {'n_estimators': 35, 'max_depth': 14}
0.372 0.005 {'n_estimators': 40, 'max_depth': 14}
0.369 0.008 {'n_estimators': 45, 'max_depth': 14}
0.332 0.009 {'n_estimators': 10, 'max_depth': 15}
0.335 0.018 {'n_estimators': 15, 'max_depth': 15}
0.357 0.010 {'n_estimators': 20, 'max_depth': 15}
0.356 0.009 {'n_estimators': 25, 'max_depth': 15}
0.364 0.004 {'n_estimators': 30, 'max_depth': 15}
0.369 0.009 {'n_estimators': 35, 'max_depth': 15}
0.366 0.010 {'n_estimators': 40, 'max_depth': 15}
0.375 0.009 {'n_estimators': 45, 'max_depth': 15}
0.336 0.025 {'n_estimators': 10, 'max_depth': 16}
0.348 0.015 {'n_estimators': 15, 'max_depth': 16}
0.352 0.009 {'n_estimators': 20, 'max_depth': 16}
0.364 0.015 {'n_estimators': 25, 'max_depth': 16}
0.365 0.006 {'n_estimators': 30, 'max_depth': 16}
0.372 0.015 {'n_estimators': 35, 'max_depth': 16}
0.374 0.006 {'n_estimators': 40, 'max_depth': 16}
0.378 0.006 {'n_estimators': 45, 'max_depth': 16}
0.334 0.022 {'n_estimators': 10, 'max_depth': 17}
0.353 0.010 {'n_estimators': 15, 'max_depth': 17}
0.350 0.007 {'n_estimators': 20, 'max_depth': 17}
0.364 0.009 {'n_estimators': 25, 'max_depth': 17}
0.372 0.008 {'n_estimators': 30, 'max_depth': 17}
0.376 0.011 {'n_estimators': 35, 'max_depth': 17}
0.375 0.010 {'n_estimators': 40, 'max_depth': 17}
0.372 0.009 {'n_estimators': 45, 'max_depth': 17}
0.327 0.014 {'n_estimators': 10, 'max_depth': 18}
0.364 0.020 {'n_estimators': 15, 'max_depth': 18}
0.354 0.011 {'n_estimators': 20, 'max_depth': 18}
0.366 0.008 {'n_estimators': 25, 'max_depth': 18}
0.367 0.011 {'n_estimators': 30, 'max_depth': 18}
0.377 0.006 {'n_estimators': 35, 'max_depth': 18}
0.380 0.008 {'n_estimators': 40, 'max_depth': 18}
0.379 0.009 {'n_estimators': 45, 'max_depth': 18}
0.342 0.013 {'n_estimators': 10, 'max_depth': 19}
0.366 0.009 {'n_estimators': 15, 'max_depth': 19}
0.366 0.010 {'n_estimators': 20, 'max_depth': 19}
0.370 0.005 {'n_estimators': 25, 'max_depth': 19}
0.373 0.016 {'n_estimators': 30, 'max_depth': 19}
0.378 0.009 {'n_estimators': 35, 'max_depth': 19}
0.375 0.009 {'n_estimators': 40, 'max_depth': 19}
